date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:24:12	33645/33645	---M-Z	200	added ('OK')	text/html	etag:W/%22639eda4c-836d%22	https://themewagon.github.io/mark/index.html	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/mark/index.html	(from )
11:24:12	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2266a2df6e-239b%22	https://themewagon.github.io/robots.txt		(from )
11:24:13	199412/199412	---M-Z	200	added ('OK')	text/css	etag:W/%22639eda4c-30af4%22	https://themewagon.github.io/mark/css/bootstrap.css	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/mark/css/bootstrap.css	(from https://themewagon.github.io/mark/index.html)
11:24:14	70117/70117	---M-Z	200	added ('OK')	text/css	etag:W/%22639eda4c-111e5%22	https://themewagon.github.io/mark/css/fontawesome-all.css	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/mark/css/fontawesome-all.css	(from https://themewagon.github.io/mark/index.html)
11:24:14	21321/21321	---M-Z	200	added ('OK')	text/css	etag:W/%22639eda4c-5349%22	https://themewagon.github.io/mark/css/styles.css	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/mark/css/styles.css	(from https://themewagon.github.io/mark/index.html)
11:24:14	1921/1921	---M--	200	added ('OK')	image/png	etag:%22639eda4c-781%22	https://themewagon.github.io/mark/images/favicon.png	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/mark/images/favicon.png	(from https://themewagon.github.io/mark/index.html)
11:24:15	3897/3897	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22639eda4c-f39%22	https://themewagon.github.io/mark/images/logo.svg	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/mark/images/logo.svg	(from https://themewagon.github.io/mark/index.html)
11:24:15	17860/17860	---M-Z	200	added ('OK')	text/html	etag:W/%22639eda4c-45c4%22	https://themewagon.github.io/mark/project.html	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/mark/project.html	(from https://themewagon.github.io/mark/index.html)
11:24:16	18877/18877	---M-Z	200	added ('OK')	text/html	etag:W/%22639eda4c-49bd%22	https://themewagon.github.io/mark/terms.html	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/mark/terms.html	(from https://themewagon.github.io/mark/index.html)
11:24:16	20239/20239	---M-Z	200	added ('OK')	text/html	etag:W/%22639eda4c-4f0f%22	https://themewagon.github.io/mark/privacy.html	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/mark/privacy.html	(from https://themewagon.github.io/mark/index.html)
11:24:16	5574/5574	---M--	200	added ('OK')	image/png	etag:%22639eda4c-15c6%22	https://themewagon.github.io/mark/images/details-icon-photoshop.png	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/mark/images/details-icon-photoshop.png	(from https://themewagon.github.io/mark/index.html)
11:24:16	4378/4378	---M--	200	added ('OK')	image/png	etag:%22639eda4c-111a%22	https://themewagon.github.io/mark/images/details-icon-illustrator.png	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/mark/images/details-icon-illustrator.png	(from https://themewagon.github.io/mark/index.html)
11:24:17	4943/4943	---M--	200	added ('OK')	image/png	etag:%22639eda4c-134f%22	https://themewagon.github.io/mark/images/details-icon-html.png	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/mark/images/details-icon-html.png	(from https://themewagon.github.io/mark/index.html)
11:24:17	5531/5531	---M--	200	added ('OK')	image/png	etag:%22639eda4c-159b%22	https://themewagon.github.io/mark/images/details-icon-css.png	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/mark/images/details-icon-css.png	(from https://themewagon.github.io/mark/index.html)
11:24:17	2361/2361	---M--	200	added ('OK')	image/png	etag:%22639eda4c-939%22	https://themewagon.github.io/mark/images/details-icon-bootstrap.png	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/mark/images/details-icon-bootstrap.png	(from https://themewagon.github.io/mark/index.html)
11:24:17	4904/4904	---M--	200	added ('OK')	image/png	etag:%22639eda4c-1328%22	https://themewagon.github.io/mark/images/details-icon-javascript.png	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/mark/images/details-icon-javascript.png	(from https://themewagon.github.io/mark/index.html)
11:24:17	56981/56981	---M--	200	added ('OK')	image/jpeg	etag:%22639eda4c-de95%22	https://themewagon.github.io/mark/images/project-1.jpg	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/mark/images/project-1.jpg	(from https://themewagon.github.io/mark/index.html)
11:24:18	98965/98965	---M--	200	added ('OK')	image/jpeg	etag:%22639eda4c-18295%22	https://themewagon.github.io/mark/images/project-2.jpg	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/mark/images/project-2.jpg	(from https://themewagon.github.io/mark/index.html)
11:24:18	128771/128771	---M--	200	added ('OK')	image/jpeg	etag:%22639eda4c-1f703%22	https://themewagon.github.io/mark/images/project-3.jpg	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/mark/images/project-3.jpg	(from https://themewagon.github.io/mark/index.html)
11:24:18	41490/41490	---M--	200	added ('OK')	image/jpeg	etag:%22639eda4c-a212%22	https://themewagon.github.io/mark/images/project-4.jpg	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/mark/images/project-4.jpg	(from https://themewagon.github.io/mark/index.html)
11:24:18	29609/29609	---M--	200	added ('OK')	image/jpeg	etag:%22639eda4c-73a9%22	https://themewagon.github.io/mark/images/work-1.jpg	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/mark/images/work-1.jpg	(from https://themewagon.github.io/mark/index.html)
11:24:18	22326/22326	---M--	200	added ('OK')	image/jpeg	etag:%22639eda4c-5736%22	https://themewagon.github.io/mark/images/work-2.jpg	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/mark/images/work-2.jpg	(from https://themewagon.github.io/mark/index.html)
